0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;1
0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;4;0
0;0;0;0;0;0;0;0;8;0;0;0;16;0;0;0;1
0;0;0;0;2;0;0;0;8;0;0;0;16;2;0;0;1
0;0;0;0;2;0;0;0;8;2;0;0;16;4;4;0;1
0;0;0;0;2;4;0;0;8;4;0;0;16;8;0;0;1
0;0;0;0;2;0;0;0;16;0;0;0;16;8;8;0;1
4;0;0;0;0;0;0;0;2;0;0;0;32;16;2;0;1
8;0;0;0;0;0;0;0;2;0;0;0;32;16;2;0;1
0;0;0;0;8;0;0;0;4;2;0;0;32;16;2;0;1
0;0;0;0;8;4;0;0;4;2;4;0;32;16;4;0;1
0;0;0;2;0;0;8;4;0;0;4;2;32;16;8;4;0
0;0;0;2;0;4;8;4;0;0;8;2;32;16;8;4;0
2;0;0;0;4;8;4;0;2;8;2;0;32;16;8;4;1
4;0;0;0;8;0;0;0;4;2;0;0;64;16;0;0;1
4;0;0;0;8;4;0;0;4;2;0;0;64;16;4;0;1
8;0;0;0;8;4;0;0;4;2;0;0;64;16;8;0;1
0;0;0;2;0;0;16;8;0;0;4;2;0;64;16;8;0
4;2;0;0;16;8;0;0;4;2;0;0;64;16;8;0;1
0;0;4;2;0;0;16;8;0;0;4;4;64;16;8;2;0
0;0;4;2;0;4;16;8;0;0;0;8;64;16;8;2;0
0;0;0;0;4;2;0;0;4;8;32;0;64;16;8;2;1
0;0;0;0;0;0;2;4;0;16;32;4;64;16;8;2;0
2;0;0;0;2;0;0;0;4;32;8;0;64;32;8;2;1
0;0;0;2;0;0;0;0;0;8;4;2;0;128;16;2;0
0;0;0;0;0;0;0;4;0;8;4;2;4;128;16;4;0
0;0;0;0;4;0;0;0;2;8;4;2;4;128;16;4;1
0;0;0;0;0;0;4;2;2;8;4;2;4;128;16;4;0
4;0;0;0;2;0;0;0;2;16;4;0;4;128;16;4;1
0;0;0;0;0;0;2;4;4;16;4;2;8;128;16;8;0
0;0;0;0;4;4;0;0;4;16;4;2;8;128;16;8;1
0;0;0;4;0;0;0;8;4;16;4;2;8;128;16;8;0
0;0;0;4;0;0;2;8;4;16;4;2;8;128;16;8;0
2;4;0;0;2;8;0;0;4;16;4;2;8;128;16;8;1
0;0;2;4;0;0;8;2;0;16;4;8;16;128;16;8;0
0;0;2;4;0;2;8;2;0;16;4;8;16;128;16;8;0
2;4;0;0;2;8;2;0;2;16;4;8;16;128;16;8;1
0;0;0;8;0;2;8;4;4;16;8;4;0;16;128;32;0
0;0;0;0;4;8;0;0;4;16;8;0;4;32;128;32;1
0;0;0;2;0;0;0;8;4;16;8;4;8;32;128;32;0
4;0;0;0;4;8;0;0;4;16;8;4;8;32;128;32;1
4;2;0;0;4;8;0;0;8;16;8;4;16;32;128;32;1
0;0;0;4;0;0;0;16;0;8;16;16;16;32;128;32;0
4;0;0;0;2;4;0;0;8;16;32;0;16;32;128;32;1
0;0;4;2;0;0;2;4;0;8;16;32;16;32;128;32;0
4;0;0;0;4;2;0;0;4;8;16;4;16;32;128;64;1
0;0;0;0;4;4;0;0;16;16;8;0;16;32;128;64;1
0;0;0;2;0;0;0;8;0;0;32;8;16;32;128;64;0
4;0;0;0;4;2;0;0;4;8;32;16;16;32;128;64;1
4;0;0;0;4;4;8;0;16;32;16;0;16;32;128;64;1
4;0;0;0;8;8;0;0;16;32;16;4;16;32;128;64;1
0;0;0;0;4;2;4;0;16;16;4;0;32;64;128;64;1
